geo_key,name,tot_pop_10,pc_wht_10,avg_huval,yrblt_mdn,trst_trps,year
156,Capitol View Neighborhood Association,388,40.5,143031.0,1966,312,2019
90,Bluff Acres Neighborhood Association,3725,67.6,176436.0,1981,335,2019
95,Mendota Hills Neighborhood Association,364,82.6,176057.0,1959,258,2019
140,Vilas Neighborhood Association,1881,90.8,434895.0,1918,1246,2019
102,Sheridan Triangle Neighborhood Association,340,91.9,148381.0,1947,258,2019
159,Meadowood Neighborhood Association,2962,68.6,170035.0,1964,927,2019
104,Burke Heights Neighborhood Association,607,67.3,161477.0,1973,463,2019
171,Allied Dunn's Marsh Neighborhood Association,2157,33.9,128086.0,1964,718,2019
97,Sherman Neighborhood Association,2695,72.4,145987.0,1953,3084,2019
125,Blackhawk Homeowners Association,2168,83.4,535821.0,2001,0,2019
1,City of Madison,232626,75.6,234150.0,1972,11646,2019
138,"Hill Farms, University Neighborhood Association",2942,76.4,285033.0,1960,1819,2019
98,Brentwood Village Association,1128,63.2,189105.0,1962,258,2019
118,Wexford Village Homeowners Association,2506,84.3,295670.0,1992,292,2019
94,Berkley Oaks Neighborhood Association,1399,48.8,135274.0,1966,504,2019
89,Whitetail Ridge,499,76.2,174999.0,1995,246,2019
151,Bram's Addition Neighborhood Association,1282,24.4,112920.0,1965,1577,2019
105,Eken Park Neighborhood Association,2505,78.3,136896.0,1948,2247,2019
161,Arbor Hills Neighborhood Association,1102,75.8,245922.0,1970,471,2019
351,Rocky Bluff Neighborhood Association,1142,78.3,228614.0,1957,1667,2019
164,Westhaven Trails Homeowners Assoc,1956,66.2,191316.0,1990,293,2019
100,Carpenter-Ridgeway Neighborhood Association,1016,66.4,149842.0,1967,1608,2019
128,Walnut Grove Homeowners Association,981,80.7,272194.0,1977,337,2019
167,Country Grove Neighborhood Association,917,84.7,299766.0,1996,105,2019
132,East Buckeye Neighborhood Association,2043,85.2,192460.0,1985,326,2019
500,Dunn's Marsh Neighborhood Association,2157,33.9,128086.0,1964,718,2019
142,Faircrest Neighborhood Association,1191,80.2,283064.0,1965,553,2019
103,Hawthorne Neighborhood Association,1090,66.0,130841.0,1955,989,2019
86,Westchester Gardens Neighborhood Association,1302,65.7,171046.0,1986,1052,2019
106,Emerson East Neighborhood Association,2042,83.9,167032.0,1925,2397,2019
93,Nobel Park Neighborhood Association,353,72.2,136268.0,1955,484,2019
112,Heritage Heights Community Association,2240,89.9,190302.0,1975,161,2019
133,Glen Oak Hills Neighborhood Association,844,87.7,185809.0,1956,1350,2019
84,Cherokee Park Neighborhood Association,1431,94.8,270423.0,1983,20,2019
139,Glendale Neighborhood Association,2233,79.1,179014.0,1958,511,2019
141,Greenbush Neighborhood Association,2879,88.8,243655.0,1918,2127,2019
107,Hiestand Neighborhood Association,3561,58.9,168118.0,1979,809,2019
123,Lake Edge Neighborhood Association,2380,88.5,161903.0,1951,571,2019
120,Richmond Hill Homeowners Association,395,85.3,342836.0,1997,0,2019
135,Junction Ridge Neighborhood Association,1628,80.6,249431.0,1998,522,2019
155,Greentree Neighborhood Association,1841,76.7,221014.0,1967,702,2019
130,Wisconsin Co-op Housing Association,355,91.9,205973.0,1951,553,2019
166,Glacier Ridge Neighborhood Association,1385,83.3,240105.0,2002,0,2019
153,Burr Oaks Neighborhood Association,1744,20.1,156427.0,1962,1885,2019
91,Lake View Hill Neighborhood Association,1192,69.4,170915.0,1961,504,2019
108,Worthington Park Neighborhood Association,701,30.7,119198.0,1959,1294,2019
110,McClellan Park Neighborhood Association,2227,81.7,232081.0,2005,0,2019
114,Marquette Neighborhood Association,4909,88.8,296847.0,1915,2495,2019
99,Mayfair Park Neighborhood Association,593,64.9,137059.0,1967,1440,2019
177,Summit Woods Neighborhood Association,721,85.0,205785.0,1966,442,2019
150,Nakoma League,1778,93.8,415214.0,1938,998,2019
169,Orchard Ridge Neighborhood Association,2262,87.6,200619.0,1964,1164,2019
87,North Lake Mendota Neighborhood Association,898,86.3,242591.0,1992,258,2019
92,Lerdahl Park Neighborhood Association,925,80.4,281459.0,1966,258,2019
131,Parkwood Hills Community Association,1274,87.5,320159.0,1972,783,2019
160,Prairie Hills Neighborhood Association,3350,57.2,178162.0,1977,514,2019
165,Maple-Prairie Neighborhood Association,1732,79.6,222609.0,1993,150,2019
101,Ridgewood Neighborhood Association,3992,57.5,202437.0,1995,463,2019
113,Rolling Meadows Neighborhood Association,2366,84.1,165225.0,1966,616,2019
350,Marbella Condominium Association,463,78.8,,1996,491,2019
85,Sherman Village Neighborhood Association,2283,82.2,152661.0,1966,246,2019
134,Sauk Creek Neighborhood Association,1029,79.5,350848.0,1990,292,2019
